subject_id,condition,channel,band,lowcut,highcut,correlation_direct,pvalue_direct,correlation_max_lagged,optimal_lag_ms,env_source
3,AUD,EEG-ch21,theta,4.0,8,-0.0019596522626415063,0.570330816104903,-0.006368345903321946,-410.15625,env_theta
3,AUD,EEG-ch22,theta,4.0,8,-0.00010982298122962908,0.9746256019157788,-0.005689150524273725,359.375,env_theta
3,AUD,EEG-ch23,theta,4.0,8,-0.002086963848723153,0.5455531053327679,0.007325058443833403,-203.125,env_theta
3,AUD,EEG-ch24,theta,4.0,8,0.0007729411843381904,0.8228639563587812,-0.009499386315677493,375.0,env_theta
3,AUD,EEG-ch25,theta,4.0,8,-0.0023889934848706873,0.48899218893372537,-0.008140331960500838,367.1875,env_theta
3,AUD,EEG-ch26,theta,4.0,8,0.000561275753744432,0.8708653820035965,-0.00458801395802363,-410.15625,env_theta
3,AUD,EEG-ch27,theta,4.0,8,-0.0003767523995159312,0.9131098292647424,0.005665090645846472,-214.84375,env_theta
3,AUD,EEG-ch28,theta,4.0,8,-0.0011907681817902717,0.7301875431726864,0.00854856448677083,-191.40625,env_theta
3,AUD,EEG-ch29,theta,4.0,8,0.0014970780898505996,0.6645853833815784,-0.008485063301459777,-277.34375,env_theta
3,AUD,EEG-ch30,theta,4.0,8,0.001466496403184219,0.6710306733014857,0.008900191063998662,-230.46875,env_theta
3,AUD,EEG-ch31,theta,4.0,8,0.0053358510662388755,0.122248193945052,-0.012713351368951742,113.28125,env_theta
3,AUD,EEG-ch32,theta,4.0,8,-4.615288593746514e-05,0.9893349800010557,0.007331197180752381,-203.125,env_theta
3,AUD,EEG-ch1,alpha,8.0,13,-0.0059081577488157575,0.08705090017118411,-0.00676107224098234,-7.8125,env_alpha
3,AUD,EEG-ch2,alpha,8.0,13,-0.0056403742982902155,0.10234181102318946,-0.006110798228245046,-7.8125,env_alpha
3,AUD,EEG-ch3,alpha,8.0,13,-0.00459537204975197,0.18320857621978592,-0.0060873823619166136,-11.71875,env_alpha
3,AUD,EEG-ch4,alpha,8.0,13,-0.008188291813400613,0.017712605738083954,-0.008227322978435737,-3.90625,env_alpha
3,AUD,EEG-ch5,alpha,8.0,13,-0.005721808909936177,0.09748084931741921,-0.006506533962530327,-7.8125,env_alpha
3,AUD,EEG-ch6,alpha,8.0,13,-0.009268153059713955,0.007267223991003125,-0.009367542119311036,-3.90625,env_alpha
3,AUD,EEG-ch7,alpha,8.0,13,-0.00962575943529715,0.005304717999841078,-0.009625759435200425,0.0,env_alpha
3,AUD,EEG-ch8,alpha,8.0,13,-0.007729123855587907,0.025183318393927505,-0.007974783798794297,-3.90625,env_alpha
3,AUD,EEG-ch9,alpha,8.0,13,-0.005694134639532603,0.09911163843250186,0.00626602510721536,300.78125,env_alpha
3,AUD,EEG-ch10,alpha,8.0,13,-0.003352045765873601,0.3316288725217763,0.005559114015644264,496.09375,env_alpha
3,AUD,EEG-ch11,alpha,8.0,13,-0.010463785382433562,0.002440244975989211,0.010494133991826776,-46.875,env_alpha
3,AUD,EEG-ch12,alpha,8.0,13,-0.009885425343477965,0.004194733005436971,-0.00988542534337884,0.0,env_alpha
3,AUD,EEG-ch13,alpha,8.0,13,-0.00832358650170738,0.015919386641347653,-0.008886071814742253,-3.90625,env_alpha
3,AUD,EEG-ch14,alpha,8.0,13,-0.004962367133169232,0.1506517354771155,0.007190056071290772,492.1875,env_alpha
3,AUD,EEG-ch15,alpha,8.0,13,-0.008311968277832215,0.01606685305250365,-0.00907235258062686,7.8125,env_alpha
3,AUD,EEG-ch16,alpha,8.0,13,-0.01115088064811598,0.0012393252624463935,-0.01178994562248342,3.90625,env_alpha
3,AUD,EEG-ch17,alpha,8.0,13,-0.008553205033322391,0.01323934730002263,-0.008553205033236689,0.0,env_alpha
3,AUD,EEG-ch18,alpha,8.0,13,-0.005961614768572554,0.08423115647092266,0.006210609380077489,500.0,env_alpha
3,AUD,EEG-ch19,alpha,8.0,13,-0.0034204886081286552,0.32185110142944295,0.005897381274500988,-304.6875,env_alpha
3,AUD,EEG-ch20,alpha,8.0,13,-0.008985382039335705,0.009256257265184378,-0.012038892755010301,11.71875,env_alpha
3,AUD,EEG-ch21,alpha,8.0,13,-0.010623375828355597,0.0020917987148363604,-0.011322912715454783,3.90625,env_alpha
3,AUD,EEG-ch22,alpha,8.0,13,-0.008947877913081855,0.009553664757212999,-0.008947877912992236,0.0,env_alpha
3,AUD,EEG-ch23,alpha,8.0,13,-0.005539714730275905,0.10861471149951356,0.006911802659698975,496.09375,env_alpha
3,AUD,EEG-ch24,alpha,8.0,13,-0.006006728764896435,0.08190941617111125,-0.012260017379726759,-78.125,env_alpha
3,AUD,EEG-ch25,alpha,8.0,13,-0.007383185114942332,0.032485724714293576,-0.010220783273381823,11.71875,env_alpha
3,AUD,EEG-ch26,alpha,8.0,13,-0.008312911457108416,0.01605483695202902,-0.008706133763035221,3.90625,env_alpha
3,AUD,EEG-ch27,alpha,8.0,13,-0.007110079392168832,0.03946732330902277,-0.007672873380817744,7.8125,env_alpha
3,AUD,EEG-ch28,alpha,8.0,13,-0.0036363722512249173,0.29225533565439504,0.010220042197228503,-31.25,env_alpha
3,AUD,EEG-ch29,alpha,8.0,13,-0.007310455124929827,0.034232946269783224,0.010014873432394506,-35.15625,env_alpha
3,AUD,EEG-ch30,alpha,8.0,13,-0.00517588733762509,0.1338541364935261,0.0109408341519483,-128.90625,env_alpha
3,AUD,EEG-ch31,alpha,8.0,13,-0.002100329757762083,0.5429831053371001,0.014025935081030075,-226.5625,env_alpha
3,AUD,EEG-ch32,alpha,8.0,13,-0.003946503342655637,0.2530346371649932,0.011801094839112689,-128.90625,env_alpha
3,AUD,EEG-ch1,low_beta,13.0,20,-0.002273634720825211,0.510215769641118,-0.004115252265972328,-152.34375,env_beta_low
3,AUD,EEG-ch2,low_beta,13.0,20,-0.0019439563073323026,0.5734223509068085,0.0035077270446801445,82.03125,env_beta_low
3,AUD,EEG-ch3,low_beta,13.0,20,-0.0008555084519380561,0.8043073591994493,-0.002975532528521631,-351.5625,env_beta_low
3,AUD,EEG-ch4,low_beta,13.0,20,-0.002593160122257232,0.45262579478577203,0.003722488553637746,-382.8125,env_beta_low
3,AUD,EEG-ch5,low_beta,13.0,20,-0.0022403889435548287,0.516420520795687,-0.0033387443846449494,113.28125,env_beta_low
3,AUD,EEG-ch6,low_beta,13.0,20,-0.0031316559180739408,0.3644029322208317,0.006028294034769491,-382.8125,env_beta_low
3,AUD,EEG-ch7,low_beta,13.0,20,-0.001991673701161732,0.5640485019970564,0.0033697322208609986,-378.90625,env_beta_low
3,AUD,EEG-ch8,low_beta,13.0,20,-0.0011996799430036196,0.7282479144578353,0.0030938091855578953,-382.8125,env_beta_low
3,AUD,EEG-ch9,low_beta,13.0,20,-0.0008707041760401531,0.8009038427631154,-0.002935540202910235,367.1875,env_beta_low
3,AUD,EEG-ch10,low_beta,13.0,20,-0.0012462204142985988,0.7181469731464962,0.003267236224984725,144.53125,env_beta_low
3,AUD,EEG-ch11,low_beta,13.0,20,-0.0026920193936416847,0.4355810932196288,0.004751887607019874,-378.90625,env_beta_low
3,AUD,EEG-ch12,low_beta,13.0,20,-0.002790787559812568,0.4189278343159732,-0.002897121133799808,171.875,env_beta_low
3,AUD,EEG-ch13,low_beta,13.0,20,-0.0008012978688022293,0.816479188766081,0.003315755421978922,-378.90625,env_beta_low
